id;status;code;is_international;int_name;ru_name
100733;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
10089;Данные в процессе проверки;40;True;Graphic Design Technology;Графический дизайн
101902;Данные подтверждены;R21;False;Primary School Teaching;Преподавание в младших классах
102397;Данные подтверждены;R4;False;Preschool Education;Дошкольное воспитание
102551;Данные подтверждены;34;True;Cooking;Поварское дело
102984;Данные в процессе проверки;;;;
103157;Данные в процессе проверки;;;;
103335;Данные подтверждены;R11;True;Entrepreneurship;Предпринимательство
103718;Данные подтверждены;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
104356;Данные в процессе проверки;;;;
104497;Данные в процессе проверки;T36;False;Smart electricity metering system;Интеллектуальные системы учета электроэнергии
104687;Данные в процессе проверки;R11;True;Entrepreneurship;Предпринимательство
104929;Данные в процессе проверки;;;;
104943;Данные подтверждены;R10;False;Rescue Service;Спасательные работы
104954;Данные в процессе проверки;41;True;Health and Social Care;Медицинский и социальный уход
105103;Данные в процессе проверки;D1;False;Physical Education, sport and fitness;Физическая культура, спорт и фитнес
105224;Данные в процессе проверки;R70;False;;Педагог дополнительного образования
105365;Данные в процессе проверки;R76;False;RU;Спасательные работы
10572;Данные в процессе проверки;29;True;Hairdressing;Парикмахерское искусство
105754;Данные в процессе проверки;R21;False;Primary School Teaching;Преподавание в младших классах
105891;Данные в процессе проверки;;;;
105959;Данные в процессе проверки;R41;False;;Бухгалтерский учет
106088;Данные подтверждены;R99;False;Oil and gas mining;Добыча нефти и газа
106237;Данные в процессе проверки;T78;False;;Финансы
106337;Данные в процессе проверки;R6;False;Chemical Laboratory Technology;Лабораторный химический анализ
106818;Данные подтверждены;05;True;Mechanical Engineering CAD;Инженерный дизайн CAD
106903;Данные подтверждены;40;True;Graphic Design Technology;Графический дизайн
106929;Данные в процессе проверки;;False;Без компетенции;Без компетенции
108041;Данные в процессе проверки;;False;Без компетенции;Без компетенции
108985;Данные подтверждены;06;True;CNC Turning;Токарные работы на станках с ЧПУ
109027;Данные в процессе проверки;;;;
109327;Данные в процессе проверки;16J;False;Electronics;Электроника - Юниоры (14-16)
109622;Данные в процессе проверки;R94;False;Engineering design;Инженерное проектирование
10965;Данные в процессе проверки;;;;
110135;Данные в процессе проверки;;;;
